taskName,stdTaskCd,riskCate1Cd,riskCate1Name,riskCate2Cd,riskCate2Name,riskFactor,riskRelatedLaw,stdRiskFactorSeq
"기초파일 자재, 장비반입, 운반, 보관",T01186,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",연약지반 등 지반 불량으로 인한 파일 무너짐 위험,안전보건규칙 제393조 [화물의 적재],7690
"기초파일 자재, 장비반입, 운반, 보관",T01186,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",지게차 운전원이 파일 하역중 파일이 흔들림으로 인한 무너짐 위험,안전보건규칙 제180조 [헤드가드],7691
"기초파일 자재, 장비반입, 운반, 보관",T01186,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",지게차의 기계장치 연결부 파단으로 인한 인양중 파일 무너짐 위험,안전보건규칙 제97조 [볼트 · 너트의 풀림 방지],7692
"기초파일 자재, 장비반입, 운반, 보관",T01186,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",파일 과적재로 인한 적재된 파일 무너짐 위험,안전보건규칙 제393조 [화물의 적재],7693
"기초파일 자재, 장비반입, 운반, 보관",T01186,1,기계적 요인,4,충돌위험 부분,"작업중 안전모, 안전화 등 개인보호구 미착용으로 인하여 작업중 파일 등에 신체부위 부딪힘 위험",안전보건규칙 제32조 [보호구의 지급 등],7694
"기초파일 자재, 장비반입, 운반, 보관",T01186,1,기계적 요인,4,충돌위험 부분,적재파일의 구름방지용 쐐기 미설치로 인하여 파일이 굴러 주변 근로자 부딪힘 위험,안전보건규칙 제386조 [경사면에서의 중량물 취급],7695
"기초파일 자재, 장비반입, 운반, 보관",T01186,1,기계적 요인,4,충돌위험 부분,지게차 사용시 유도자 미배치로 인한 주변 근로자 부딪힘 위험,안전보건규칙 제172조 [접촉의 방지],7696
"기초파일 자재, 장비반입, 운반, 보관",T01186,1,기계적 요인,4,충돌위험 부분,지게차 운전원의 조작미숙으로 인한 부딪힘 위험,,7697
"기초파일 자재, 장비반입, 운반, 보관",T01186,1,기계적 요인,4,충돌위험 부분,지게차 후면에 접근금지 시설 미설치 되어 후진중 부딪힘 위험,안전보건규칙 제172조 [접촉의 방지],7698
"기초파일 자재, 장비반입, 운반, 보관",T01186,1,기계적 요인,4,충돌위험 부분,파일 적재용 받침목의 부러짐으로 인하여 파일이 굴러 주변 근로자 부딪힘 위험,안전보건규칙 제35조 [관리감독자의 유해ㆍ위험 방지 업무 등] ,7699
"기초파일 자재, 장비반입, 운반, 보관",T01186,6,작업환경 요인,3,공간 및 이동통로,작업중 주변에 출입금지 미조치로 인한 지게차 및 파일에 부딪힘 위험,안전보건규칙 제20조 [출입의 금지 등],7700
기초파일 천공,T01187,1,기계적 요인,1,"협착위험 부분(감김,끼임)",천공기 스크류부위 위험지역 미설정으로 인한 근로자 신체 일부분 끼임 위험,안전보건규칙 제200조 [접촉 방지],7701
기초파일 천공,T01187,1,기계적 요인,1,"협착위험 부분(감김,끼임)",천공기 운전원 조작미숙으로 인한 근로자 신체 일부분 끼임 위험,,7702
기초파일 천공,T01187,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,안전보건규칙 제207조 [조립시 점검],7703
기초파일 천공,T01187,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",굴삭기 운전원의 조작미숙에 의한 깔림 위험,,7704
기초파일 천공,T01187,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",천공기 리더연결 와이어 파단으로 인한 천공기 무너짐 위험,안전보건규칙 제207조 [조립시 점검],7705
기초파일 천공,T01187,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",천공기 붐대와 리더의 연결부 용접부 탈락으로 리더에 맞음 위험,안전보건규칙 제207조 [조립시 점검],7706
기초파일 천공,T01187,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",천공기 붐이 노후되어 파단으로 인한 근로자 맞음 위험,안전보건규칙 제207조 [조립시 점검],7707
기초파일 천공,T01187,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",천공기 스크류 잔토의 무너짐으로 인한 하부 작업자 맞음 위험,,7708
기초파일 천공,T01187,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",천공기 하부 지반 침하로 인한 넘어짐 위험,안전보건규칙 제199조 [전도 등의 방지],7709
기초파일 천공,T01187,1,기계적 요인,4,충돌위험 부분,굴삭기 운행 및 굴삭 작업시 유도자 미배치로 인한 주변 근로자와 부딪힘 위험,안전보건규칙 제200조 [접촉 방지],7710
기초파일 천공,T01187,1,기계적 요인,4,충돌위험 부분,천공기 후면 또는 본체 회전중 위험지역 미설정으로 인한 후면부 부딪힘 위험,안전보건규칙 제200조 [접촉 방지],7711
기초파일 천공,T01187,1,기계적 요인,4,충돌위험 부분,"항타기, 천공기, 굴삭기 운행중 유도자 미배치로 인한 주변 근로자 부딪힘 위험",안전보건규칙 제200조 [접촉 방지],7712
