stdTaskCd,stdRiskFactorSeq,stdRiskMeasureSeq,riskFactor,stdSafetyMeasure
T01186,7690,15158,연약지반 등 지반 불량으로 인한 파일 무너짐 위험,불안정한 높이로 적재 금지
T01186,7690,15159,연약지반 등 지반 불량으로 인한 파일 무너짐 위험,튼튼한 기반위에 적재
T01186,7690,15160,연약지반 등 지반 불량으로 인한 파일 무너짐 위험,편하중이 생기지 않도록 할 것
T01186,7691,15161,지게차 운전원이 파일 하역중 파일이 흔들림으로 인한 무너짐 위험,적합한 헤드가드 설치
T01186,7692,15162,지게차의 기계장치 연결부 파단으로 인한 인양중 파일 무너짐 위험,볼트 · 너트 풀림 방지
T01186,7693,15163,파일 과적재로 인한 적재된 파일 무너짐 위험,불안정한 높이로 적재 금지
T01186,7693,15164,파일 과적재로 인한 적재된 파일 무너짐 위험,튼튼한 기반위에 적재
T01186,7693,15165,파일 과적재로 인한 적재된 파일 무너짐 위험,편하중이 생기지 않도록 할 것
T01186,7694,15166,"작업중 안전모, 안전화 등 개인보호구 미착용으로 인하여 작업중 파일 등에 신체부위 부딪힘 위험","보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 지급 및 착용"
T01186,7695,15167,적재파일의 구름방지용 쐐기 미설치로 인하여 파일이 굴러 주변 근로자 부딪힘 위험,경사면 아래로 근로자 출입 제한
T01186,7695,15168,적재파일의 구름방지용 쐐기 미설치로 인하여 파일이 굴러 주변 근로자 부딪힘 위험,"구름멈춤대, 쐐기 등을 이용하여 중량물의 동요나 이동 조절"
T01186,7696,15169,지게차 사용시 유도자 미배치로 인한 주변 근로자 부딪힘 위험,작업구역 출입금지
T01186,7696,15170,지게차 사용시 유도자 미배치로 인한 주변 근로자 부딪힘 위험,작업지휘자 또는 유도자 유도에 따라 작업
T01186,7697,15171,지게차 운전원의 조작미숙으로 인한 부딪힘 위험,"운전원 자격여부, 운전경력 파악"
T01186,7697,15172,지게차 운전원의 조작미숙으로 인한 부딪힘 위험,작업전 특별교육 실시
T01186,7698,15173,지게차 후면에 접근금지 시설 미설치 되어 후진중 부딪힘 위험,작업구역 출입금지
T01186,7698,15174,지게차 후면에 접근금지 시설 미설치 되어 후진중 부딪힘 위험,작업지휘자 또는 유도자 유도에 따라 작업
T01186,7699,15175,파일 적재용 받침목의 부러짐으로 인하여 파일이 굴러 주변 근로자 부딪힘 위험,관리감독자 점검(별표3의 작업에 대해)
T01186,7699,15176,파일 적재용 받침목의 부러짐으로 인하여 파일이 굴러 주변 근로자 부딪힘 위험,관리감독자의 점검 및 이상조치
T01186,7700,15177,작업중 주변에 출입금지 미조치로 인한 지게차 및 파일에 부딪힘 위험,안전지주 또는 안전블록 사용
T01186,7700,15178,작업중 주변에 출입금지 미조치로 인한 지게차 및 파일에 부딪힘 위험,출입금지구역관리(안전지주 또는 안전블록 사용 시 예외)
T01187,7701,15179,천공기 스크류부위 위험지역 미설정으로 인한 근로자 신체 일부분 끼임 위험,근로자 출입제한
T01187,7701,15180,천공기 스크류부위 위험지역 미설정으로 인한 근로자 신체 일부분 끼임 위험,유도자 배치
T01187,7702,15181,천공기 운전원 조작미숙으로 인한 근로자 신체 일부분 끼임 위험,"운전원 자격여부, 운전경력 파악"
T01187,7702,15182,천공기 운전원 조작미숙으로 인한 근로자 신체 일부분 끼임 위험,작업전 특별교육 실시
T01187,7703,15183,굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,권상기의 설치상태의 이상 유무
T01187,7703,15184,굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
T01187,7703,15185,굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
T01187,7703,15186,굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,버팀의 방법 및 고정상태의 이상 유무
T01187,7703,15187,굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,본체 연결부의 풀림 또는 손상의 유무
T01187,7704,15188,굴삭기 운전원의 조작미숙에 의한 깔림 위험,"운전원 자격여부, 운전경력 파악"
T01187,7704,15189,굴삭기 운전원의 조작미숙에 의한 깔림 위험,작업전 특별교육 실시
T01187,7705,15190,천공기 리더연결 와이어 파단으로 인한 천공기 무너짐 위험,권상기의 설치상태의 이상 유무
