processName,stdTaskCd,taskName,taskDesc,taskMachines,stdProcessCd
기초파일작업,P00242,"기초파일 자재, 장비반입, 운반, 보관",파일을 박기위해 필요한 장비를 반입하고 기초파일을 운반하여 보관하는 작업,지게차,T01186
기초파일작업,P00242,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,"굴삭기, 천공기, 항타기",T01187
기초파일작업,P00242,기초파일 항타,항타기와 해머를 이용하여 구구멍을 낸 지반에 파일을 박는 작업,"항타기, 해머",T01188
기초파일작업,P00242,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,파일커터장비,T01189
굴착작업,P00243,굴착 장비반입,장비반입 트럭으로 현장에 굴삭기 반입,"굴삭기, 운반트럭",T01190
굴착작업,P00243,굴착,굴삭기로 토사 굴착,"굴삭기, 운반트럭",T01191
굴착작업,P00243,굴착 토사반출,굴착된 토사를 운반트럭으로 반출하는 작업,"굴삭기, 운반트럭",T01192
발파 작업,P00244,발파 천공,천공기를 사용하여 폭약을 넣을 구멍을 만드는 작업,천공기,T01193
발파 작업,P00244,발파 장약,천공구멍에 폭약을 넣는 작업,,T01194
발파 작업,P00244,발파,폭약 발파하는 작업,전기뇌관,T01195
발파 작업,P00244,발파 암처리,"발파후 생긴 암석, 토사 등을 굴삭기로 퍼내는 작업","굴삭기, 덤프트럭",T01196
발파 작업,P00244,발파 화약고 관리,사용하기위한 폭약이나 작업후 남은 폭약을 별도의 장소에 보관하여 관리하는 작업,,T01197
흙막이 지보공 작업,P00245,자재반입,흙막이 지보공을 설치할 자재를 반입,이동식 크레인,T01198
흙막이 지보공 작업,P00245,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,이동식 크레인,T01199
흙막이 지보공 작업,P00245,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,이동식 크레인,T01200
흙막이 지보공 작업,P00245,자재반출,자재 반출,이동식 크레인,T01201
되메움 작업,P00246,토사반입 및 되메움 실시,토사를 반입하여 굴착면과 구조물 사이에 토사로 메우는 작업,"굴삭기, 운반트럭",T01202
되메움 작업,P00246,토사 다짐,되메움한 토사를 로울러를 이용하여 다짐하는 작업,로울러,T01203
거푸집 작업,P00247,"자재반입, 가공·운반",거푸집 자재를 반입하여 가공하는 작업,"목재가공용 둥근톱, 카고크레인",T01204
거푸집 작업,P00247,거푸집 동바리 조립,거푸집 동바리를 조립하는 작업,,T01205
거푸집 작업,P00247,거푸집 동바리 해체,거푸집 동바리를 해체하는 작업,작업발판,T01206
